SKU,Descripción,Precio
001AGAVE,"Popote café 21 cm Agave estuchado CAJA 2,000 Pzas. AG*1",1309.09
001AGAVEP,Popote café 21 cm Agave estuchado PQTE 500 Pzas. AG*1,400.00
002AGAVE,Bolsa camiseta Agave Vitabag Chica 25x15x41 cm CAJA 10 KG AG*5,1174.32
002AGAVEP,Bolsa camiseta Agave Vitabag Chica 25x41x7.5cm PQTE 1 KG AG*5,135.58
004AGAVE,Bolsa camiseta Agave Vitabag Grande 30x20x61 cm CAJA 10 KG. AG*5,1096.06
004AGAVEP,Bolsa camiseta Agave Vitabag Grande 30x61x10 cm PQTE 1 KG AG*5,126.55
003AGAVE,Bolsa camiseta Agave Vitabag Mediana 25x15x51 cm CAJA 10 KG. AG*5,1174.32
003AGAVEP,Bolsa camiseta Agave Vitabag Mediana 25x51x7.5cm PQTE 1 KG AG*5,135.58
004.1BAMBUPLA,Contenedor redondo 26 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,1260.47
004.1BAMBUPLAP,Contenedor redondo 26 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,247.40
005.1BAMBUPLA,Contenedor redondo 35 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,1351.81
005.1BAMBUPLAP,Contenedor redondo 35 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,265.32
005.2BAMBUPLA,Contenedor redondo 46 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,1589.29
005.2BAMBUPLAP,Contenedor redondo 46 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,311.93
002BAMBUPLA,"Contenedor térmico 8 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",2484.41
003.0BAMBUPLA,"Contenedor térmico 12 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",3068.98
003.0BAMBUPLAP,Contenedor térmico 12 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,177.16
003.1BAMBUPLA,Contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1554.33
003.1BAMBUPLAP,Contenedor térmico 16 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,179.45
004.0BAMBUPLA,Contenedor térmico 21 oz beige (sopero 1/2 lt) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1610.00
004.0BAMBUPLAP,Contenedor térmico 21 oz beige (sopero 1/2 lt) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,186.00
005.0BAMBUPLA,Contenedor térmico 32 oz beige (sopero 1 lt) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1915.00
005.0BAMBUPLAP,Contenedor térmico 32 oz beige (sopero 1 lt) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,219.64
001BAMBUPLA,"Contenedor térmico 5 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",1698.90
001BAMBUPLAP,Contenedor térmico 5 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,98.07
002BAMBUPLAP,Contenedor térmico 8 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,143.42
005.3BAMBUPLA,Tapa contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1832.00
005.3BAMBUPLAP,Tapa contenedor térmico 16 oz beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,214.31
006BAMBUPLA,Tapa contenedor térmico 21/32 oz beige (sopero) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,1863.31
006BAMBUPLAP,Tapa contenedor térmico 21/32 oz beige (sopero) compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,215.13
013BAMBUPLA,"Tapa cafetera blanca vaso 10/12/16/20 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",2150.00
012BAMBUPLA,"Tapa cafetera blanca vaso 8 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",1757.00
012BAMBUPLAP,Tapa cafetera blanca vaso 8 oz compostable Caña Azúcar PQTE 50 Pzas. CA*2,103.82
014BAMBUPLA,"Tapa plana c/agujero blanca vaso 10/12/16/20 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",1963.78
014BAMBUPLAP,Tapa plana c/agujero blanca vaso 10/12/16/20 oz compostable Caña Azúcar PQTE 50 Pzas. CA*2,113.36
013BAMBUPLAP,Tapa vaso 10/12/16/20 oz térmico (cafetera) blanca Caña Azúcar PQTE 50 Pzas. CA*2,127.25
009BAMBUPLA,"Vaso 10 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",2300.67
009BAMBUPLAP,Vaso 10 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,146.85
010BAMBUPLA,"Vaso 12 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",2416.67
010BAMBUPLAP,Vaso 12 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,154.26
011BAMBUPLA,"Vaso 16 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",2745.33
011BAMBUPLAP,Vaso 16 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,175.23
007BAMBUPLA,"Vaso 4 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",986.00
007BAMBUPLAP,Vaso 4 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas.B+PLA*2,62.94
008BAMBUPLA,"Vaso 8 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",1653.00
008BAMBUPLAP,Vaso 8 oz bebida caliente beige compostable Bambú + Pla PQTE 50 Pzas. B+PLA*2,105.51
004CAÑAA,"Almeja 8x8"" blanca c/3 div Caña Azúcar CAJA 200 Pzas. CA*2",825.82
004CAÑAAP,"Almeja 8x8"" blanca c/3 div Caña Azúcar PQTE 50 Pzas. CA*2",252.33
003CAÑAA,"Almeja 8x8"" blanca lisa Caña Azúcar CAJA 200 Pzas. CA*2",1117.82
003CAÑAAP,"Almeja 8x8"" blanca lisa Caña Azúcar PQTE 50 Pzas. CA*2",341.56
008CAÑAAP,"Almeja 9x6"" blanca c/2 div Caña Azúcar PQTE 50 Pzas. CA*2",348.00
008CAÑAA,"Almeja 9x6"" blanca c/2 div Caña Azúcar CAJA 250 Pzas. CA*2",1138.91
007CAÑAA,"Almeja 9x6"" blanca lisa Caña Azúcar CAJA 250 Pzas. CA*2",1117.82
007CAÑAAP,"Almeja 9x6"" blanca lisa Caña Azúcar PQTE 50 Pzas. CA*2",273.24
006CAÑAA,"Almeja 9x9"" blanca c/3 div Caña Azúcar CAJA 200 Pzas. CA*2",1096.73
006CAÑAAP,"Almeja 9x9"" blanca c/3 div Caña Azúcar PQTE 50 Pzas. CA*2",335.11
005CAÑAA,"Almeja 9x9"" blanca lisa Caña Azúcar CAJA 200 Pzas. CA*2",1223.27
005CAÑAAP,"Almeja 9x9"" blanca lisa Caña Azúcar PQTE 50 Pzas. CA*2",373.78
009CAÑAA,"Copa soufflé 2 oz blanca Caña Azúcar CAJA 2,000 Pzas. CA",2900.00
009CAÑAAP,Copa soufflé 2 oz blanca Caña Azúcar PQTE 100 Pzas. CA,174.00
001CAÑAA,"Hamburguesero 6x6"" blanco Caña Azúcar CAJA 500 Pzas. CA*2",1465.82
001CAÑAAP,"Hamburguesero 6x6"" blanco Caña Azúcar PQTE 50 Pzas. CA*2",179.16
002CAÑAA,"Hamburguesero bombacho 6x6"" blanco Caña Azúcar CAJA 500 Pzas. CA*2",1418.18
002CAÑAAP,"Hamburguesero bombacho 6x6"" blanco Caña Azúcar PQTE 50 Pzas. CA*2",173.33
010CAÑAA,"Tapa soufflé 2 oz blanca Caña Azúcar CAJA 2,000 Pzas. CA",2495.00
010CAÑAAP,Tapa soufflé 2 oz blanca Caña Azúcar PQTE 100 Pzas. CA,149.70
020CAÑAA,Charola Bioform chica 16.1x14.1x3.8 cm Caña Azúcar CAJA 600 Pzas. CA,1889.76
020CAÑAAP,Charola Bioform chica 16.1x14.1x3.8 cm Caña Azúcar PQTE 50 Pzas. CA,174.55
016CAÑAA,Charola Bioform grande 21x15.3x4.5 cm Caña Azúcar CAJA 500 Pzas. CA,3213.29
016CAÑAAP,Charola Bioform grande 21x15.3x4.5 cm Caña Azúcar PQTE 50 Pzas. CA,296.79
015.0CAÑAA,Charola rectangular 21x15.5x3 cm blanca Caña Azúcar CAJA 600 Pzas. CA*2,1469.33
015.0CAÑAAP,Charola rectangular 21x15.5x3 cm blanca Caña Azúcar PQTE 50 Pzas. CA*2,146.35
015.1CAÑAA,Charola rectangular 27.3x13.8x3 cm blanca Caña Azúcar CAJA 500 Pzas. CA*2,1392.00
015.1CAÑAAP,Charola rectangular 27.3x13.8x3 cm blanca Caña Azúcar PQTE 50 Pzas. CA*2,167.04
013.0CAÑAA,"Plato 10x10"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",2385.82
013.0CAÑAAP,"Plato 10x10"" blanco cuadrado Caña Azúcar PQTE 50 Pzas. CA*3",265.09
013.1CAÑAA,"Plato 6"" liso blanco Caña Azúcar CAJA 1000 Pzas. CA*2",1044.00
013.1CAÑAAP,"Plato 6"" liso blanco Caña Azúcar PQTE 125 Pzas. CA*2",130.50
011CAÑAA,"Plato 6x6"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",1095.04
011CAÑAAP,"Plato 6x6"" blanco cuadrado Caña Azúcar PQTE 50 Pzas. CA*3",121.67
013.2CAÑAA,"Plato 7"" liso blanco Caña Azúcar CAJA 1000 Pzas. CA*2",1299.20
013.2CAÑAAP,"Plato 7"" liso blanco Caña Azúcar PQTE 125 Pzas. CA*2",180.44
012CAÑAAP,"Plato 8x8"" blanco cuadrado Caña Azúcar PQTE 50 Pzas. CA*3",157.31
012CAÑAA,"Plato 8x8"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",1415.80
014CAÑAA,"Tazón 12 oz (360 ml) blanco Caña Azúcar CAJA 1,000 Pzas. CA*2",1532.00
014CAÑAAP,Tazón 12 oz (360 ml) blanco Caña de Azúcar PQTE 50 Pzas. CA*2,90.48
002ENV,Servicio de Envío - Transporte Aéreo,1555.56
001ENV,Servicio de Envío - Transporte Terrestre,486.21
003ENV,Servicio de Envío RAM-Tansporte terrestre,90.22
046.2FMAIZP,Agitador estuchado (2 piezas) natural Fécula Maíz PQTE 250 sobres. FM*1,727.27
046.2FMAIZ,Agitador estuchado (2piezas) Fécula Maíz CAJA 500 sobres. FM.,1259.84
046.0FMAIZ,"Agitador Fécula Maíz CAJA 2,000 Pzas. FM",866.14
046.0FMAIZP,Agitador Fécula Maíz PQTE 100 Pzas. FM,50.00
048FMAIZ,Bolsa basura jareta 95x110 cm extra gde negra Fécula Maíz CAJA 140 Pzas. FM,1806.30
048FMAIZP,Bolsa basura jareta 95x110 cm extra gde negra Fécula Maíz PQTE c/7 Pzas. FM,104.27
047FMAIZ,"Bolsa camiseta c/leyenda 23x30 cm Fécula Maíz CAJA 2,000 Pzas. FM",2744.57
047FMAIZP,Bolsa camiseta c/leyenda 23x30 cm Fécula Maíz PQTE 100 Pzas. FM,158.44
013FMAIZ,"Almeja 8x6"" natural lisa 600 ml Fécula Maíz CAJA 400 Pzas. FM*1",1599.96
013FMAIZP,"Almeja 8x6"" natural lisa 600 ml Fécula Maíz PQTE 100 Pzas. FM*1",488.88
006FMAIZ,"Almeja 8x8"" natural c/3div Fécula Maíz CAJA 200 Pzas. FM*2",2250.91
006FMAIZP,"Almeja 8x8"" natural c/3div Fécula Maíz PQTE 50 Pzas. FM*2",687.78
004FMAIZ,"Almeja 8x8"" natural lisa Fécula Maíz CAJA 200 Pzas. FM*2",1740.00
004FMAIZP,"Almeja 8x8"" natural lisa Fécula Maíz PQTE 50 Pzas. FM*2",531.67
007FMAIZ,"Almeja 8x8"" negra c/3 div Fécula Maíz CAJA 200 Pzas. FM*2",1512.22
007FMAIZP,"Almeja 8x8"" negra c/3 div Fécula Maíz PQTE 50 Pzas. FM*2",462.07
005FMAIZ,"Almeja 8x8"" negra lisa Fécula Maíz CAJA 200 Pzas. FM*2",2003.64
005FMAIZP,"Almeja 8x8"" negra lisa Fécula Maíz PQTE 50 Pzas. FM*2",612.22
011FMAIZ,"Almeja 9x9"" natural c/3 div Fécula Maíz CAJA 200 Pzas. FM",2999.99
011FMAIZP,"Almeja 9x9"" natural c/3 div Fécula Maíz PQTE 50 Pzas. FM",916.67
008FMAIZ,"Almeja 9x9"" natural lisa Fécula Maíz CAJA 125 Pzas. FM*2",1287.27
008FMAIZP,"Almeja 9x9"" natural lisa Fécula Maíz PQTE 50 Pzas. FM*2",629.33
012FMAIZ,"Almeja 9x9"" negra c/3 div Fécula Maíz CAJA 200 Pzas. FM*2",2999.99
012FMAIZP,"Almeja 9x9"" negra c/3 div Fécula Maíz PQTE 50 Pzas. FM*2",916.67
009FMAIZ,"Almeja 9x9"" negra lisa Fécula Maíz CAJA 125 Pzas. FM*2",1470.04
009FMAIZP,"Almeja 9x9"" negra lisa Fécula Maíz PQTE 50 Pzas. FM*2",718.68
014FMAIZ,"Baguette 9x6"" natural liso Fécula Maíz CAJA 200 Pzas. FM",1552.73
014FMAIZP,"Baguette 9x6"" natural liso Fécula Maíz PQTE 50 Pzas. FM",474.44
015FMAIZ,"Baguette 9x6"" negro liso Fécula Maíz CAJA 200 Pzas. FM",1552.73
015FMAIZP,"Baguette 9x6"" negro liso Fécula Maíz PQTE 50 Pzas. FM",474.44
016FMAIZ,"Copa soufflé 2 oz natural Fécula Maíz CAJA 2,500 Pzas. FM",2124.09
016FMAIZP,Copa soufflé 2 oz natural Fécula Maíz PQTE 100 Pzas. FM,109.24
018FMAIZ,"Copa soufflé 2 oz negra Fécula Maíz CAJA 2,500 Pzas. FM",2900.00
018FMAIZP,Copa soufflé 2 oz negra Fécula Maíz PQTE 100 Pzas. FM,145.00
020FMAIZ,"Copa soufflé 4 oz natural Fécula Maíz CAJA 2,500 Pzas. FM*2",2456.88
020FMAIZP,Copa soufflé 4 oz natural Fécula Maíz PQTE 100 Pzas. FM*2,122.84
022FMAIZ,"Copa soufflé 4 oz negra Fécula Maíz CAJA 2,500 Pzas. FM",3450.00
022FMAIZP,Copa soufflé 4 oz negra Fécula Maíz PQTE 100 Pzas. FM,172.50
002FMAIZ,"Hamburguesero 6x6"" natural Fécula Maíz CAJA 500 Pzas. FM*2",3222.22
002FMAIZP,"Hamburguesero 6x6"" natural Fécula Maíz PQTE 50 Pzas. FM*2",414.29
003FMAIZ,"Hamburguesero 6x6"" negro Fécula Maíz CAJA 500 Pzas. FM*2",2784.44
003FMAIZP,"Hamburguesero 6x6"" negro Fécula Maíz PQTE 50 Pzas. FM*2",358.00
027FMAIZ,Soup Bowl 20 oz natural Fécula Maíz CAJA 600 Pzas. FM,2697.64
027FMAIZP,Soup Bowl 20 oz natural Fécula Maíz PQTE 50 Pzas. FM,258.51
025FMAIZ,Soup Bowl 32 oz natural Fécula Maíz CAJA 480 Pzas. FM,3448.82
025FMAIZP,Soup Bowl 32 oz natural Fécula Maíz PQTE 40 Pzas. FM,330.49
024FMAIZ,Soup Bowl 16 oz natural Fécula Maíz CAJA 600 Pzas. FM,2982.68
024FMAIZP,Soup Bowl 16 oz natural Fécula Maíz PQTE 50 Pzas. FM,285.82
029FMAIZ,Soup Bowl 16 oz negro Fécula Maíz CAJA 600 Pzas. FM,2982.68
029FMAIZP,Soup Bowl 16 oz negro Fécula Maíz PQTE 50 Pzas. FM,285.82
032FMAIZ,Soup Bowl 20 oz negro Fécula Maíz CAJA 600 Pzas. FM,2697.64
032FMAIZP,Soup Bowl 20 oz negro Fécula Maíz PQTE 50 Pzas. FM,258.51
030FMAIZ,Soup Bowl 32 oz negro Fécula Maíz CAJA 480 Pzas. FM,3448.82
030FMAIZP,Soup Bowl 32 oz negro Fécula Maíz PQTE 40 Pzas. FM,330.49
017FMAIZ,"Tapa copa soufflé 2 oz natural Fécula Maíz CAJA 2,500 Pzas. FM*2",1394.58
017FMAIZP,Tapa copa soufflé 2 oz natural Fécula Maíz PQTE 100 Pzas. FM*2,71.72
019FMAIZ,"Tapa copa soufflé 2 oz negra Fécula Maíz CAJA 2,500 Pzas. FM",1798.00
019FMAIZP,Tapa copa soufflé 2 oz negra Fécula Maíz PQTE 100 Pzas. FM,89.90
021FMAIZ,"Tapa copa soufflé 4 oz natural Fécula Maíz CAJA 2,500 Pzas. FM*2",1865.28
021FMAIZP,Tapa copa soufflé 4 oz natural Fécula Maíz PQTE 100 Pzas. FM*2,93.26
023FMAIZ,"Tapa copa soufflé 4 oz negra Fécula Maíz CAJA 2,500 Pzas. FM",2245.99
023FMAIZP,Tapa copa soufflé 4 oz negra Fécula Maíz PQTE 100 Pzas. FM,112.30
026FMAIZ,Tapa Soup Bowl 16/32 oz natural -no hermética- Fécula Maíz CAJA 600 Pzas. FM,1708.66
026FMAIZP,Tapa Soup Bowl 16/32 oz natural -no hermética- Fécula Maíz PQTE 50 Pzas. FM,163.74
031FMAIZ,Tapa Soup Bowl 16/32 oz negro -no hermética- Fécula Maíz CAJA 600 Pzas. FM,1708.66
031FMAIZP,Tapa Soup Bowl 16/32 oz negro-no hermética- Fécula Maíz PQTE 50 Pzas. FM,163.74
028FMAIZ,Tapa Soup Bowl 20 oz natural -no hermética- Fécula Maíz CAJA 600 Pzas. FM,1948.03
028FMAIZP,Tapa Soup Bowl 20 oz natural -no hermética- Fécula Maíz PQTE 50 Pzas. FM,186.67
033FMAIZ,Tapa Soup Bowl 20 oz negro -no hermética- Fécula Maíz CAJA 600 Pzas. FM,1948.03
033FMAIZP,Tapa Soup Bowl 20 oz negro -no hermética- Fécula Maíz PQTE 50 Pzas. FM,186.67
036FMAIZP,Cuchara 15 cm blanca Fécula Maíz PQTE 200 Pzas. FM*2,152.73
036FMAIZ,"Cuchara 15 cm blanca Fécula Maíz CAJA 1,000 Pzas. FM*2",661.42
039FMAIZ,"Cuchara 15 cm negra Fécula Maíz CAJA 1,000 Pzas. FM",930.71
039FMAIZP,Cuchara 15 cm negra Fécula Maíz PQTE 200 Pzas. FM,214.91
042FMAIZ,"Cuchara jumbo 17.5 cm blanca Fécula Maíz CAJA 1,000 Pzas. FM*2",923.78
042FMAIZP,Cuchara jumbo 17.5 cm blanca Fécula Maíz PQTE 200 Pzas. FM*2,203.00
035FMAIZ,"Cuchara pastelera blanca a granel 12.5 cm Fécula Maíz CAJA 1,000 Pzas. FM*2",585.83
035FMAIZP,Cuchara pastelera blanca a granel 12.5 cm Fécula Maíz PQTE 200 Pzas. FM*2,169.36
041FMAIZ,"Cuchillo 15 cm negro Fécula Maíz CAJA 1,000 Pzas. FM",930.70
041FMAIZP,Cuchillo 15 cm negro Fécula Maíz PQTE 200 Pzas. FM,214.91
038FMAIZ,"Cuchillo 15 cm blanco Fécula Maíz CAJA 1,000 Pzas. FM*2",661.42
038FMAIZP,Cuchillo 15 cm blanco Fécula Maíz PQTE 200 Pzas. FM*2,152.73
044FMAIZ,"Cuchillo jumbo 17.5 cm blanco Fécula Maíz CAJA 1,000 Pzas. FM*2",845.80
044FMAIZP,Cuchillo jumbo 17.5 cm blanco Fécula Maíz PQTE 200 Pzas. FM*2,195.30
045FMAIZ,Set de cubiertos blanco jumbo estuchados Fécula Maíz CAJA 500 Pzas. FM,1866.44
045FMAIZP,Set de cubiertos blanco jumbo estuchados Fécula Maíz PQTE 50 Pzas. FM,199.00
037FMAIZ,"Tenedor 15 cm blanco Fécula Maíz CAJA 1,000 Pzas. FM*2",661.42
037FMAIZP,Tenedor 15 cm blanco Fécula Maíz PQTE 200 Pzas. FM*2,152.73
040FMAIZ,"Tenedor 15 cm negro Fécula Maíz CAJA 1,000 Pzas. FM",930.70
040FMAIZP,Tenedor 15 cm negro Fécula Maíz PQTE 200 Pzas. FM,214.91
043FMAIZ,"Tenedor jumbo 17.5 cm blanco Fécula Maíz CAJA 1,000 Pzas. FM*2",923.78
043FMAIZP,Tenedor jumbo 17.5 cm blanco Fécula Maíz PQTE 200 Pzas. FM*2,203.00
034FMAIZ,Charola rectangular natural 23x18 cm Fécula Maíz CAJA 500 Pzas. FM*2,1317.27
034FMAIZP,Charola rectangular natural 23x18 cm Fécula Maíz PQTE 50 Pzas. FM*2,129.00
004IMP,Impresión 1 tinta - Serigrafía - Caja Pizza,5.11
008IMP,Grabado Placa - Serigrafía pago único por tamaño,266.67
021IMP,Grabado Placa -pago unica ocasión-*1,818.82
023IMP,Grabado Placa -pago unica ocasión-*2,563.22
024IMP,Grabado Placa -pago unica ocasión-*3,600.00
001.1IMP,Impresión 1 tinta - Serigrafía - CHICO,2.64
001.0IMP,Impresión 1 tinta - Serigrafía - MEDIANO y GRANDE,3.30
005IMP,Impresión 1 tinta - Serigrafía -ESPECIAL,2.24
002.1IMP,Impresión 1 tinta -Fajilla Carton Bio $/pza *1,1.48
002.0IMP,Impresión 1 tinta -Vaso PLA clear $/pza *1,1.15
002.2IMP,Impresión 1 tinta -Vaso PLA clear $/pza *2,0.81
003.0IMP,Impresión 1 tinta -Vaso PLA clear $/pza *3,0.66
001.2IMP,Impresión 2 tintas - Serigrafía - CHICO,4.22
001.3IMP,Impresión 2 tintas - Serigrafía - MEDIANO y GRANDE,4.43
003.1IMP,Impresión 2 tintas -Vaso PLA clear $/pza *3,1.32
003.2IMP,Impresión 3 tintas -Vaso PLA clear $/pza *3,1.98
