id,nombre,marca,categoria,descripcion,sku_caja,precio_caja,cantidad_caja,sku_paquete,precio_paquete,cantidad_paquete,unidad,foto,disponible
1,Popote café 21 cm Agave estuchado,Agave,Cubiertos y Accesorios,"Popote café 21 cm Agave estuchado CAJA 2,000 Pzas. AG*1",001AGAVE,1309.09,2000,001AGAVEP,400.00,500,Pzas,popote-cafe-21-cm-agave-estuchado.jpg,TRUE
2,Bolsa camiseta Agave Vitabag Chica 25x15x41 cm,Agave,Bolsas,Bolsa camiseta Agave Vitabag Chica 25x15x41 cm CAJA 10 KG AG*5,002AGAVE,1174.32,10,002AGAVEP,135.58,1,KG,bolsa-camiseta-agave-vitabag-chica-25x15x41-cm.jpg,TRUE
3,Bolsa camiseta Agave Vitabag Grande 30x20x61 cm,Agave,Bolsas,Bolsa camiseta Agave Vitabag Grande 30x20x61 cm CAJA 10 KG. AG*5,004AGAVE,1096.06,10,004AGAVEP,126.55,1,KG,bolsa-camiseta-agave-vitabag-grande-30x20x61-cm.jpg,TRUE
4,Bolsa camiseta Agave Vitabag Mediana 25x15x51 cm,Agave,Bolsas,Bolsa camiseta Agave Vitabag Mediana 25x15x51 cm CAJA 10 KG. AG*5,003AGAVE,1174.32,10,003AGAVEP,135.58,1,KG,bolsa-camiseta-agave-vitabag-mediana-25x15x51-cm.jpg,TRUE
5,Contenedor redondo 26 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor redondo 26 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,004.1BAMBUPLA,1260.47,300,004.1BAMBUPLAP,247.40,50,Pzas,contenedor-redondo-26-oz-beige-compostable-bambu-pla.jpg,TRUE
6,Contenedor redondo 35 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor redondo 35 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,005.1BAMBUPLA,1351.81,300,005.1BAMBUPLAP,265.32,50,Pzas,contenedor-redondo-35-oz-beige-compostable-bambu-pla.jpg,TRUE
7,Contenedor redondo 46 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor redondo 46 oz beige compostable Bambú + Pla CAJA 300 Pzas. B+PLA*2,005.2BAMBUPLA,1589.29,300,005.2BAMBUPLAP,311.93,50,Pzas,contenedor-redondo-46-oz-beige-compostable-bambu-pla.jpg,TRUE
8,Contenedor térmico 8 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,"Contenedor térmico 8 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",002BAMBUPLA,2484.41,1000,002BAMBUPLAP,143.42,50,Pzas,contenedor-termico-8-oz-beige-compostable-bambu-pla.jpg,TRUE
9,Contenedor térmico 12 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,"Contenedor térmico 12 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",003.0BAMBUPLA,3068.98,1000,003.0BAMBUPLAP,177.16,50,Pzas,contenedor-termico-12-oz-beige-compostable-bambu-pla.jpg,TRUE
10,Contenedor térmico 16 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,003.1BAMBUPLA,1554.33,500,003.1BAMBUPLAP,179.45,50,Pzas,contenedor-termico-16-oz-beige-compostable-bambu-pla.jpg,TRUE
11,Contenedor térmico 21 oz beige (sopero 1/2 lt) compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor térmico 21 oz beige (sopero 1/2 lt) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,004.0BAMBUPLA,1610.00,500,004.0BAMBUPLAP,186.00,50,Pzas,contenedor-termico-21-oz-beige-sopero-12-lt-compostable-bamb.jpg,TRUE
12,Contenedor térmico 32 oz beige (sopero 1 lt) compostable Bambú + Pla,Bambú + PLA,Contenedores,Contenedor térmico 32 oz beige (sopero 1 lt) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,005.0BAMBUPLA,1915.00,500,005.0BAMBUPLAP,219.64,50,Pzas,contenedor-termico-32-oz-beige-sopero-1-lt-compostable-bambu.jpg,TRUE
13,Contenedor térmico 5 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,"Contenedor térmico 5 oz beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",001BAMBUPLA,1698.90,1000,001BAMBUPLAP,98.07,50,Pzas,contenedor-termico-5-oz-beige-compostable-bambu-pla.jpg,TRUE
14,Tapa contenedor térmico 16 oz beige compostable Bambú + Pla,Bambú + PLA,Contenedores,Tapa contenedor térmico 16 oz beige compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,005.3BAMBUPLA,1832.00,500,005.3BAMBUPLAP,214.31,50,Pzas,tapa-contenedor-termico-16-oz-beige-compostable-bambu-pla.jpg,TRUE
15,Tapa contenedor térmico 21/32 oz beige (sopero) compostable Bambú + Pla,Bambú + PLA,Contenedores,Tapa contenedor térmico 21/32 oz beige (sopero) compostable Bambú + Pla CAJA 500 Pzas. B+PLA*2,006BAMBUPLA,1863.31,500,006BAMBUPLAP,215.13,50,Pzas,tapa-contenedor-termico-2132-oz-beige-sopero-compostable-bam.jpg,TRUE
16,Tapa cafetera blanca vaso 10/12/16/20 oz compostable Caña Azúcar,Caña Azúcar,Vasos,"Tapa cafetera blanca vaso 10/12/16/20 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",013BAMBUPLA,2150.00,1000,013BAMBUPLAP,127.25,50,Pzas,tapa-cafetera-blanca-vaso-10121620-oz-compostable-cana-azuca.jpg,TRUE
17,Tapa cafetera blanca vaso 8 oz compostable Caña Azúcar,Caña Azúcar,Vasos,"Tapa cafetera blanca vaso 8 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",012BAMBUPLA,1757.00,1000,012BAMBUPLAP,103.82,50,Pzas,tapa-cafetera-blanca-vaso-8-oz-compostable-cana-azucar.jpg,TRUE
18,Tapa plana c/agujero blanca vaso 10/12/16/20 oz compostable Caña Azúcar,Caña Azúcar,Vasos,"Tapa plana c/agujero blanca vaso 10/12/16/20 oz compostable Caña Azúcar CAJA 1,000 Pzas. CA*2",014BAMBUPLA,1963.78,1000,014BAMBUPLAP,113.36,50,Pzas,tapa-plana-cagujero-blanca-vaso-10121620-oz-compostable-cana.jpg,TRUE
19,Vaso 10 oz bebida caliente beige compostable Bambú + Pla,Bambú + PLA,Vasos,"Vaso 10 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",009BAMBUPLA,2300.67,1000,009BAMBUPLAP,146.85,50,Pzas,vaso-10-oz-bebida-caliente-beige-compostable-bambu-pla.jpg,TRUE
20,Vaso 12 oz bebida caliente beige compostable Bambú + Pla,Bambú + PLA,Vasos,"Vaso 12 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",010BAMBUPLA,2416.67,1000,010BAMBUPLAP,154.26,50,Pzas,vaso-12-oz-bebida-caliente-beige-compostable-bambu-pla.jpg,TRUE
21,Vaso 16 oz bebida caliente beige compostable Bambú + Pla,Bambú + PLA,Vasos,"Vaso 16 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",011BAMBUPLA,2745.33,1000,011BAMBUPLAP,175.23,50,Pzas,vaso-16-oz-bebida-caliente-beige-compostable-bambu-pla.jpg,TRUE
22,Vaso 4 oz bebida caliente beige compostable Bambú + Pla,Bambú + PLA,Vasos,"Vaso 4 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",007BAMBUPLA,986.00,1000,007BAMBUPLAP,62.94,50,Pzas,vaso-4-oz-bebida-caliente-beige-compostable-bambu-pla.jpg,TRUE
23,Vaso 8 oz bebida caliente beige compostable Bambú + Pla,Bambú + PLA,Vasos,"Vaso 8 oz bebida caliente beige compostable Bambú + Pla CAJA 1,000 Pzas. B+PLA*2",008BAMBUPLA,1653.00,1000,008BAMBUPLAP,105.51,50,Pzas,vaso-8-oz-bebida-caliente-beige-compostable-bambu-pla.jpg,TRUE
24,"Almeja 8x8"" blanca c/3 div Caña Azúcar",Caña Azúcar,Almejas,"Almeja 8x8"" blanca c/3 div Caña Azúcar CAJA 200 Pzas. CA*2",004CAÑAA,1050.33,200,004CAÑAAP,641.87,100,Pzas,almeja-8x8-blanca-c3-div-cana-azucar.jpg,TRUE
25,"Almeja 8x8"" blanca lisa Caña Azúcar",Caña Azúcar,Almejas,"Almeja 8x8"" blanca lisa Caña Azúcar CAJA 200 Pzas. CA*2",003CAÑAA,1050.33,200,003CAÑAAP,641.87,100,Pzas,almeja-8x8-blanca-lisa-cana-azucar.jpg,TRUE
26,"Almeja 9x6"" blanca c/2 div Caña Azúcar",Caña Azúcar,Almejas,"Almeja 9x6"" blanca c/2 div Caña Azúcar CAJA 250 Pzas. CA*2",008CAÑAA,1138.91,250,008CAÑAAP,696.00,125,Pzas,almeja-9x6-blanca-c2-div-cana-azucar.jpg,TRUE
27,"Almeja 9x6"" blanca lisa Caña Azúcar",Caña Azúcar,Almejas,"Almeja 9x6"" blanca lisa Caña Azúcar CAJA 250 Pzas. CA*2",007CAÑAA,1117.82,250,007CAÑAAP,683.11,125,Pzas,almeja-9x6-blanca-lisa-cana-azucar.jpg,TRUE
28,"Almeja 9x9"" blanca c/3 div Caña Azúcar",Caña Azúcar,Almejas,"Almeja 9x9"" blanca c/3 div Caña Azúcar CAJA 200 Pzas. CA*2",006CAÑAA,1096.73,200,006CAÑAAP,670.22,100,Pzas,almeja-9x9-blanca-c3-div-cana-azucar.jpg,TRUE
29,"Almeja 9x9"" blanca lisa Caña Azúcar",Caña Azúcar,Almejas,"Almeja 9x9"" blanca lisa Caña Azúcar CAJA 200 Pzas. CA*2",005CAÑAA,1223.27,200,005CAÑAAP,747.56,100,Pzas,almeja-9x9-blanca-lisa-cana-azucar.jpg,TRUE
30,Copa soufflé 2 oz blanca Caña Azúcar,Caña Azúcar,Copas,"Copa soufflé 2 oz blanca Caña Azúcar CAJA 1,000 Pzas. CA",009CAÑAA,2900.00,1000,009CAÑAAP,174.00,50,Pzas,copa-souffle-2-oz-blanca-cana-azucar.jpg,TRUE
31,"Hamburguesero 6x6"" blanco Caña Azúcar",Caña Azúcar,Platos y Charolas,"Hamburguesero 6x6"" blanco Caña Azúcar CAJA 500 Pzas. CA*2",001CAÑAA,1465.82,500,001CAÑAAP,447.89,125,Pzas,hamburguesero-6x6-blanco-cana-azucar.jpg,TRUE
32,"Hamburguesero bombacho 6x6"" blanco Caña Azúcar",Caña Azúcar,Platos y Charolas,"Hamburguesero bombacho 6x6"" blanco Caña Azúcar CAJA 500 Pzas. CA*2",002CAÑAA,1418.18,500,002CAÑAAP,433.33,125,Pzas,hamburguesero-bombacho-6x6-blanco-cana-azucar.jpg,TRUE
33,Tapa soufflé 2 oz blanca Caña Azúcar,Caña Azúcar,Tapas,"Tapa soufflé 2 oz blanca Caña Azúcar CAJA 1,000 Pzas. CA",010CAÑAA,2495.00,1000,010CAÑAAP,149.70,50,Pzas,tapa-souffle-2-oz-blanca-cana-azucar.jpg,TRUE
34,Charola rectangular 21x15.5x3 cm blanca Caña Azúcar,Caña Azúcar,Platos y Charolas,Charola rectangular 21x15.5x3 cm blanca Caña Azúcar CAJA 600 Pzas. CA*2,015.0CAÑAA,1469.33,600,015.0CAÑAAP,146.35,50,Pzas,charola-rectangular-21x155x3-cm-blanca-cana-azucar.jpg,TRUE
35,Charola rectangular 27.3x13.8x3 cm blanca Caña Azúcar,Caña Azúcar,Platos y Charolas,Charola rectangular 27.3x13.8x3 cm blanca Caña Azúcar CAJA 500 Pzas. CA*2,015.1CAÑAA,1392.00,500,015.1CAÑAAP,167.04,50,Pzas,charola-rectangular-273x138x3-cm-blanca-cana-azucar.jpg,TRUE
36,"Plato 10x10"" blanco cuadrado Caña Azúcar",Caña Azúcar,Platos y Charolas,"Plato 10x10"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",013.0CAÑAA,2385.82,500,013.0CAÑAAP,265.09,50,Pzas,plato-10x10-blanco-cuadrado-cana-azucar.jpg,TRUE
37,"Plato 6"" liso blanco Caña Azúcar",Caña Azúcar,Platos y Charolas,"Plato 6"" liso blanco Caña Azúcar CAJA 1000 Pzas. CA*2",013.1CAÑAA,1044.00,1000,013.1CAÑAAP,130.50,125,Pzas,plato-6-liso-blanco-cana-azucar.jpg,TRUE
38,"Plato 6x6"" blanco cuadrado Caña Azúcar",Caña Azúcar,Platos y Charolas,"Plato 6x6"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",011CAÑAA,1095.04,500,011CAÑAAP,304.18,125,Pzas,plato-6x6-blanco-cuadrado-cana-azucar.jpg,TRUE
39,"Plato 7"" liso blanco Caña Azúcar",Caña Azúcar,Platos y Charolas,"Plato 7"" liso blanco Caña Azúcar CAJA 1000 Pzas. CA*2",013.2CAÑAA,1299.20,1000,013.2CAÑAAP,180.44,125,Pzas,plato-7-liso-blanco-cana-azucar.jpg,TRUE
40,"Plato 8x8"" blanco cuadrado Caña Azúcar",Caña Azúcar,Platos y Charolas,"Plato 8x8"" blanco cuadrado Caña Azúcar CAJA 500 Pzas. CA*3",012CAÑAA,1415.80,500,012CAÑAAP,157.31,50,Pzas,plato-8x8-blanco-cuadrado-cana-azucar.jpg,TRUE
41,Servicio de Envío - Transporte Aéreo,,Servicios,Servicio de Envío - Transporte Aéreo,002ENV,1555.56,,,,,Pzas,servicio-de-envio-transporte-aereo.jpg,TRUE
42,Servicio de Envío - Transporte Terrestre,,Servicios,Servicio de Envío - Transporte Terrestre,001ENV,486.21,,,,,Pzas,servicio-de-envio-transporte-terrestre.jpg,TRUE
43,Servicio de Envío RAM-Tansporte terrestre,,Servicios,Servicio de Envío RAM-Tansporte terrestre,003ENV,90.22,,,,,Pzas,servicio-de-envio-ram-tansporte-terrestre.jpg,TRUE
44,Agitador estuchado (2piezas) Fécula Maíz,Fécula Maíz,Cubiertos y Accesorios,Agitador estuchado (2piezas) Fécula Maíz CAJA 500 sobres. FM.,046.2FMAIZ,1259.84,500,046.2FMAIZP,727.27,250,sobres,agitador-estuchado-2piezas-fecula-maiz.jpg,TRUE
45,Agitador Fécula Maíz,Fécula Maíz,Cubiertos y Accesorios,"Agitador Fécula Maíz CAJA 2,000 Pzas. FM",046.0FMAIZ,866.14,2000,046.0FMAIZP,50.00,100,Pzas,agitador-fecula-maiz.jpg,TRUE
46,Bolsa basura jareta 95x110 cm extra gde negra Fécula Maíz,Fécula Maíz,Bolsas,Bolsa basura jareta 95x110 cm extra gde negra Fécula Maíz CAJA 140 Pzas. FM,048FMAIZ,1806.30,140,048FMAIZP,104.27,c/7,Pzas,bolsa-basura-jareta-95x110-cm-extra-gde-negra-fecula-maiz.jpg,TRUE
47,Bolsa camiseta c/leyenda 23x30 cm Fécula Maíz,Fécula Maíz,Bolsas,"Bolsa camiseta c/leyenda 23x30 cm Fécula Maíz CAJA 2,000 Pzas. FM",047FMAIZ,2744.57,2000,047FMAIZP,158.44,100,Pzas,bolsa-camiseta-cleyenda-23x30-cm-fecula-maiz.jpg,TRUE
48,"Almeja 8x6"" natural lisa 600 ml Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x6"" natural lisa 600 ml Fécula Maíz CAJA 400 Pzas. FM*1",013FMAIZ,1599.96,400,013FMAIZP,488.88,100,Pzas,almeja-8x6-natural-lisa-600-ml-fecula-maiz.jpg,TRUE
49,"Almeja 8x8"" natural c/3div Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x8"" natural c/3div Fécula Maíz CAJA 200 Pzas. FM*2",006FMAIZ,2250.91,200,006FMAIZP,1375.55,100,Pzas,almeja-8x8-natural-c3div-fecula-maiz.jpg,TRUE
50,"Almeja 8x8"" natural lisa Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x8"" natural lisa Fécula Maíz CAJA 200 Pzas. FM*2",004FMAIZ,1740.00,200,004FMAIZP,1063.33,100,Pzas,almeja-8x8-natural-lisa-fecula-maiz.jpg,TRUE
51,"Almeja 8x8"" negra c/3 div Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x8"" negra c/3 div Fécula Maíz CAJA 200 Pzas. FM*2",007FMAIZ,1512.22,200,007FMAIZP,924.13,100,Pzas,almeja-8x8-negra-c3-div-fecula-maiz.jpg,TRUE
52,"Almeja 8x8"" negra lisa Fécula Maíz",Fécula Maíz,Almejas,"Almeja 8x8"" negra lisa Fécula Maíz CAJA 200 Pzas. FM*2",005FMAIZ,2003.64,200,005FMAIZP,1224.44,100,Pzas,almeja-8x8-negra-lisa-fecula-maiz.jpg,TRUE
